date,placename,country,accommodation,latitude,longitude
05-08-2023,Shkoder,Albania,ODA Aparthotel,42.06706044146624,19.510754839230096
06-08-2023,Shala River,Albania,Livadhi Guesthouse,42.199954954719026,19.806393038324963
07-08-2023,Shala River,Albania,Livadhi Guesthouse,42.199954954719026,19.806393038324963
08-08-2023,Valbona,Albania,Lazer Cardaku,42.43781556166478,19.875509424531156
09-08-2023,Valbona,Albania,Lazer Cardaku,42.43781556166478,19.875509424531156
10-08-2023,Theth,Albania,Royal Land,42.40307431924233,19.765559603052502
11-08-2023,Shkoder,Albania,ODA Aparthotel,42.06706044146624,19.510754839230096
12-08-2023,Tirana,Albania,Destil B&B,41.32020451727337,19.81507842123784
